Documento	Id
PF deflagra Operação Hydra para investigar obtenção fraudulenta de benefício social	237
Policiais prendem em flagrante duas pessoas , na rodoviária de Céu Azul PR , com fuzis e carregadores	238
A Polícia Federal desarticula esquema de desvios de Recursos do Fundo Municipal de Saúde em Araguaína TO .	239
PF apura extravio de respiradores da Santa Casa de Montes Claros MG	240
Polícia Federal já prendeu doze procurados internacionais em 2021	241
PF deflagra a Operação Papel Branco e desarticula esquema de emissão de laudos fraudulentos em Minas Gerais	242
PF prende foragido da Justiça em Minas Gerais	243
Polícia Federal e Polícia Militar de São Paulo realizam a apreensão de mais de 180 quilos de pasta base de cocaína	244
PF recupera peças arqueológicas estrangeiras	245
PF desarticula organização criminosa voltada ao tráfico de drogas e crimes violentos nos estados do Acre e Mato Grosso do Sul	246
PF deflagra operação Desmascarados para apurar possíveis fraudes em licitação no RJ	247
PF apreende droga dentro de latas de compota de frutas	248
PF combate fraude fundiária no Amapá	249
PF e TIGRE PCPR apreendem três embarcações no Rio Paraná	250
PF prende homem quando recebia cocaína via Correios em Natal RN	251
PF deflagra a terceira fase da Operação Bad Trip	252
PF combate fraudes em licitações , corrupção e desvios de recursos públicos em prefeitura do RN	253
Polícia Federal e Interpol prendem foragidos da Operação Enterprise	254
PF apreendeu 32 quilos de cocaína dentro de prumos de construção	255
PF e BPFRON apreendem carregadores de arma de fogo em Santa Terezinha de Itaipu PR , no âmbito da Operação Hórus e Programa VIGIA	256
PF , em ação integrada , combate o tráfico de drogas em Roraima	257
PF combate fraude em auxílios emergenciais	258
PF combate a comercialização de cigarros contrabandeados	259
Polícia Federal , em ação conjunta com a Polícia Militar , apreendeu mais de 3 kg de cocaína	260
PF , em operação conjunta com a Polícia Militar BEPI realiza erradicação de 1 . 600 pés de maconha na zona rural do município de Orocó PE	261
PF desarticula organização criminosa volta à lavagem de dinheiro oriundo do tráfico de drogas	262
PF deflagra Operação A - 21 para combater a disseminação de pornografia infantojuvenil	263
PF deflagra Operação Faraó para combater tráfico de drogas sintéticas no Espírito Santo	264
Polícia Federal deflagra Operação Lavaggio para apurar crime de lavagem de dinheiro decorrente de tráfico internacional de drogas	265
PF , em ação integrada , apreende caminhão carregado com cigarros contrabandeados	266
Polícia Federal cumpre mandado de prisão em Pernambuco contra um foragido italiano	267
PF deflagra operação para investigar desvios de verbas do SUS em Timbaúba PE	268
PF apreende cerca de 170 de cocaína no Porto de Paranaguá	269
PF e BPFRON apreende carregamento de cigarros paraguaios .	270
PF , em parceria com a FICCO Uberaba e PMRE Iturama - MG , realiza apreensão de aproximadamente uma tonelada de maconha	271
Polícia Federal apreende caminhão com grande carga de crack	272
PF apreende 6 kg de droga em frascos de perfumes	273
PF e BPFRON apreendem um veículo carregado com contrabando	274
PF combate crime de moeda falsa no Acre	275
PF apreende 600 kg de maconha em Campo Grande MS	276
PF deflagra Operação Veneza em São Paulo	277
PF combate fraudes bancárias no Pará	278
PF e BPFRON apreende dois veículos carregados com cigarros paraguaios	279
Polícia Federal prende mulher com notas falsas	280
PF e BPFRON apreendem quatro veículos carregados com cigarros paraguaios	281
PF , em ação integrada , apreende cerca de 50 mil maços de cigarros paraguaios	282
PF e BPFRON apreendem oito veículos carregados com cigarros paraguaios	283
PF e BPFRON apreendem dois veículos carregados com cigarros paraguaios	284
PF incinera mais de 8 mil quilos de drogas apreendidas na circunscrição de Araraquara SP	285
PF investiga crime de usurpação de cargo público em Sorocaba SP	286
Polícia Federal deflagra a maior ação de combate a fraudes contra benefícios emergenciais	287
PF apreende carga de 220 kg de cocaína no Porto de Paranaguá	288
PF apreende grande quantidade de cocaína na Zona Norte do Rio de Janeiro	289
Polícia Federal deflagra 80 Fase da Operação Lava Jato - Operação PSEUDEIA	290
PF combate esquema de fraudes contra o sistema previdenciário em MT	291
PF , em ação integrada combate fraudes em receitas médicas	292
PF desarticula associação voltada à prática do crime de tráfico de drogas	293
Polícia Federal deflagra Operação Pronta Emergência para combater desvios de recursos públicos no Rio de Janeiro	294
PF combate a prática de crimes eleitorais em Campina Grande PB	295
PF realiza operação de combate a fraudes em licitações e desvio de verbas públicas no Sudoeste baiano	296
PF apreende droga dentro de frascos de medicamento	297
Polícia Federal incinera 7 , 3 toneladas de drogas em Três Lagoas MS	298
PF e Força Integrada deflagram Operação Fronteira Fechada contra o tráfico de drogas no Acre	299
PF , em ação integrada , desarticula organização criminosa voltada ao tráfico de drogas	300
PF realiza a primeira incineração de drogas do ano em Guaíra PR	301
PF investiga possível crime de comércio ilegal de pedras preciosas	302
PF e BPFRON apreendem embarcação abandonada no Rio Iguaçu , no âmbito da Operação Hórus e Programa VIGIA	303
Operação Palha Grande desarticula esquema de fraudes contra o INSS no Recôncavo Baiano	304
Polícia Federal prende homem com 2 mil reais em cédulas falsas recebidas pelos Correios em Foz do Iguaçu PR	305
Operação Advenus combate crime de promoção de migração ilegal no Acre	306
PF prende em Natal britânico procurado pela Interpol	307
Operação Lux combate fraude em fundo municipal previdenciário de Luziânia GO	308
Polícia Federal prende liderança de facção criminosa	309
PF e Receita apreendem 9 kg de cocaína ocultos nas estruturas de malas de viagem	310
Polícia Federal combate crimes eleitorais em Oiapoque	311
Polícia Federal apreende helicóptero com grande carga de cocaína	312
PF cumpre mandado de prisão expedido pelo STJ	313
Polícia Federal deflagra operação de combate ao contrabando de cigarros na região norte do Estado do Rio Grande do Sul	314
PF e BPFRON apreendem carreta bi - trem carregada com cigarros contrabandeados	315
Polícia Federal incinera , em Ponta Porã , 12 toneladas de entorpecentes com apoio da Força Nacional	316
PF apreende 246 kg de maconha e 36 sacos de skank no Mato Grosso	317
PF deflagra Operação Manzana para combater ilegalidades em vendas de aparelhos eletrônicos em Pernambuco	318
PF apreende cerca de 500 comprimidos de ecstasy no interior do RN	319
PF apreende 31 kg de cocaína na Rodovia Presidente Dutra	320
PF deflagra a Operação Dotted Roses para combater os crimes de produção de conteúdo com pornografia infantojuvenil e exploração sexual de crianças	321
Polícia Federal e BPFRON apreendem dois veículos carregados com cigarros contrabandeados .	322
PF prende mulher portando 14 kg de maconha no Aeroporto de Fortaleza	323
PF prende duas pessoas por invadir terras públicas no Mato Grosso	324
PF combate o tráfico de drogas e a lavagem de dinheiro em Sergipe	325
PF encerra atividade de rádio clandestina em Nova Xavantina MT	326
PF deflagra Operação Argos para investigar desvios de dinheiro público em contratos de cerca de R 10 milhões em Pacaraima RR	327
PF viabiliza a travessia de tripulantes terrestres detidos em fronteira entre Brasil e Peru	328
PF combate disseminação de pornografia infantojuvenil pela internet	329
Polícia Federal prende no Ceará homem foragido do Sistema Prisional do RN	330
Polícia Federal combate fraude à licitação no Amapá	331
PF combate crime de evasão de divisas no Acre	332
PF apreende agasalhos recheados com cocaína	333
PF combate tráfico de armas em Oiapoque AP	334
PF , em ação conjunta com a Receita , apreende mais de 45 kg de cocaína	335
Polícia Federal comemora 77 anos	336
Polícia Federal combate extração ilegal de minério	337
PF apura suposta importação de vacinas contra covid - 19	338
Polícia Federal e Receita Federal apreendem 3 , 5 quilos de skunk na fronteira com o Uruguai	339
Polícia Federal deflagra Operação Caixa 38	340
Policiais apreendem veículo carregado com cigarros em Itaipulândia PR	341
Policiais federais e policiais militares do BPFRON prendem indivíduo em flagrante por contrabando , em Medianeira PR	342
Polícia Federal participa de ação internacional que resultou na apreensão de 6 toneladas de cocaína	343
PF apreende cerca de 4 , 5 mil maços de cigarros de origem paraguaia	344
Polícia Federal participa de visita técnica ao Porto de Cabedelo PB	345
Polícia Federal apreende cigarros contrabandeados na fronteira com o Paraguai	346
Polícia Federal desarticula grupo criminoso responsável por falsa oferta de venda de vacinas para o Ministério da Saúde	347
Policiais apreendem caminhão carregado com cigarros e duas embarcações em Santa Helena PR	348
Polícia Federal deflagra Operação Ianomâmi 709 de combate o garimpo ilegal em Roraima	349
PF prende no Brasil um dos criminosos mais procurados do Paraguai	350
Polícia Federal deflagra operação para combater falsificação de dinheiro em onze Estados	351
Polícia Federal participa da Operação Trigger VI promovida pela INTERPOL	352
PF e BPFRON PMPR prendem homem com mandado de prisão em aberto pelo crime de roubo	353
PF investiga comercialização e aplicação de vacinas contra Covid - 19 de origem ilícita	354
Polícia Federal deflagra operação contra grupo criminoso ligado ao tráfico de entorpecentes	355
PF apreende drogas no Porto de Santos	356
Polícia Federal deflagra segunda fase de Operação Denarius para combater crimes de moeda falsa	357
Polícia Federal prende foragido da justiça uruguaia	358
Polícia Federal apreende pneus estrangeiros em Missal PR	359
Polícia Federal realiza operação de incineração de droga	360
PF e BPFRON apreendem veículos com cigarros contrabandeados em Guaíra PR	361
PF prende suspeito de fraudes à Caixa Econômica Federal	362
PF , com o apoio da Polícia Militar PE , prende estrangeiro foragido da justiça portuguesa	363
PF deflagra Operação Anóxia , para investigar possível fraude na concessão e recebimento de bolsas de estudo em universidade	364
PF apreende 2 kg de cocaína no Aeroporto Internacional de São Paulo	365
Polícia Federal investiga desvio de recursos do Fundo Eleitoral no Amapá	366
Foragido da Justiça do Rio Grande do Sul é extraditado do Uruguai para o Brasil	367
Polícia Federal prende mulher especializada em realizar furtos em bagagens de passageiros em aeroportos	368
PF deflagra 2 operações em Mato Grosso para combater comercialização ilegal de ouro	369
PF combate tráfico internacional de drogas	370
Polícia Federal deflagra operação para combater fraudes no Auxílio Emergencial e Precatórios Judiciais em Mato Grosso e em outros 11 Estados	371
PF , em ação integrada , prende em flagrante um homem pela venda de medicamento de comercialização restrita	372
PF apreende mais de R 90 mil na fronteira do Brasil com a Bolívia	373
Polícia Federal apreende 440 kg de droga no Porto de Santos SP	374
